Hebrew,Russian
פגשתי,Встретил
מארק,отметка
להיראות,Будьте открыты
כשהם,Когда они
הנשים,женщины
יעבוד,Будет работать
אשתך,Ваша жена
מאה,века
תוהה,Удивление
תשמע,Слушать
ולכן,"и, следовательно"
הבנת,Понимание
הטובים,Лучший
ברוכים,желанный
יבוא,придет
אחות,Сестра
משפחת,
אדום,красный
עצוב,печальный
זוזו,Zuzu
לרוץ,бегать
ייסון,Джейсон
פתוח,открыто
גבירותיי,Дамы
סמל,символ
השמש,Солнце
שוטרים,Милиционеры
דלת,дверь
למשרד,офис
בשום,Любые
מגיעים,приход
ואולי,"И, возможно,"
העסק,бизнес
רכב,средство передвижения
אליהם,к
דן,Дэн
כולל,в том числе
אמצא,найти
הממ,Хмм
להזמין,порядок
חמודה,милашка
זהירות,предосторожность
דיברנו,Мы говорили
אחרות,Другой
לשחרר,выпуск
רעב,голод
מסוגלת,способный
תחזיק,вешать
משקר,лежащий
לאהוב,любить
עצמה,сама
לעיר,город
ם,От
שאי,Это
שמתי,я
אד,издание
שנתיים,два года
חזקה,сильный
סקוט,Скотт
חירום,крайняя необходимость
רבותיי,Джентльмены
הגופה,Тело
התחלתי,начальная
השיר,Песня
תספר,сказать
מודה,поблагодарив
הרגת,убитый
אחוז,Процент
אחריו,С последующим
האש,Огонь
איכפת,Заботы
לאתר,разместить
יראה,страх
שכדאי,Ценность
המשימה,миссия
נוסע,пассажир
בלש,детектив
לחבר,подключения
לזרוק,выкинуть
בעלך,твой муж
ניתוח,Анализ
לדעתי,По-моему
אצלי,мной
לרקוד,танец
מוכרח,принудительный
הרוח,ветер
לשלוט,контроль
צעירה,молодая женщина
מעוניין,заинтересованный
מודאג,Волновался
העתיד,будущее
דפוק,Резьбовые
עץ,Дерево
וכך,И
ועם,И
באמצעות,Через
פרטי,Частный
מפשע,невинный
לשכנע,убеждать
בינתיים,между тем
תאונה,несчастный случай
ואיך,Как
תיתן,Дать
במשהו,Что нибудь
בגדים,купальник
דון,дон
אינה,Не
אחריי,Подписывайтесь на меня
חודש,месяц
עוף,курица
האור,свет
תפסתי,Я поймал
i,я
בריאן,С наилучшими пожеланиями
שהן,Oни
אישור,подтверждение
חלום,мечта
מבטיחה,Гарантии
תכנית,программа
אמריקה,Америка
לנקות,ясно
אהרוג,Убийство
קרא,Читать
נכנסת,вступающий
הצליח,Преемник
צריכות,Должен
ביקש,Стремились
ניסיון,Опыт
רוברט,Роберт
שותה,Напиток
רגל,Ступня
יומיים,Два дня
שעברה,Последний
לוותר,Сдаться
לפנות,Очередь
נצא,Мы будем
מתחילה,Запускает
ניקח,Взятие
התפקיד,роль
להיפגש,собираться
טרי,свежий
בתחת,Жопа
לוק,Локк
פשע,преступление
גנב,вор
מסתבר,оказаться
גבירתי,Госпожа
חוק,закон
מחפשת,Ищу
למשהו,Что нибудь
הבאת,приведение
ראיות,Доказательства
וזו,И что
מכה,дуть
הפך,напротив
עברו,Прошло
קלי,Келли
אמה,акведук
החלטה,решение
מטר,метр
וולטר,Вальтер
שאלתי,Я спросил
נהג,Водитель
אטפל,Береги себя
פיט,Пит
אשם,виновный
קיים,Существуют
שבאת,приход
שחשבתי,я думал
ואי,Wai
ממשיך,Продолжать
לשכוח,забывать
עשרים,двадцать
נחזור,Вернуть
התקשרתי,я звонил
קלייר,Клэр
מזמן,давным-давно
תה,чай
תשומת,Внимание
הקול,Звук
ביקשתי,Я спросил
לכיוון,направление
הבחורים,Мальчики
בשבילו,Для него
הצד,сторона
למשך,Для
אנה,Анна
ומי,Кто
משרד,офис
הקודמים,предыдущий
מאט,замедление
תבוא,приходить
שתרצה,Вы хотите
הגבר,мужчина
במרחק,Только
ליום,На день
התשובה,ответ
בידי,От
שהייתה,Был
הביא,в результате
כשאת,Когда ты
מתגעגע,ностальгический
עברתי,Я прошел
מאמינים,верить
מקבלת,Получает
ואן,Ван
הרגתי,убитый
קייל,рукав моря
שאעשה,я буду
עתה,сейчас же
שלם,все
מקשיב,прослушивание
תתחיל,Начать
ערך,ценность
ענק,великан
חשבון,счет-фактура
יקר,Дорогая
חברת,Компания
שבי,неволя
החתונה,свадьба
ללבוש,износ
קרובים,близко
תאמר,укротитель
מעורב,участвует
וויל,Будет
טיפשי,глупый
לאורך,вместе
במיטה,Постель
הממשלה,Правительство
נושא,тема
אנדי,Энди
רייצ,Рейчел
לילדים,для детей
למיטה,Постель
לוקחים,принимать
ספרי,книги
אדבר,Разговаривать
צו,порядок
הלכה,Ушел
תרצי,Хотели бы
דיבר,Spoke
הומו,гомик
שקר,ложь
צדק,Юпитер
סונכרן,синхронизированный
הראשי,первичный
מלך,король
הצלחת,успех
תיכנס,войти в систему
משמעות,смысл
קחו,принимать
התעופה,аэропорт
למנוע,Предотвращать
משטרה,полиция
קונה,покупатель
העניינים,вещи
לדמיין,Представить
קי,Ki
חשובה,важный
אליס,Алиса
שנמצא,Найденный
בכנות,искренне
תיקח,принимать
לוקחת,Взятие
לסגור,Закрывать
המטוס,Самолет
ידידי,друзья
שישי,шестой
תדבר,Разговаривать
שרק,свистели
חזרתי,я вернулся
מרטין,Мартин
להרשות,позволять
ידעו,знал
סביר,Скорее всего
לגנוב,украсть
צוחקת,Смеющийся
צופה,сторож
מתקשר,призвание
תוכלו,Ты
טד,Тед
דיוויד,Дэвид
דרכים,пути
הימים,День
למדתי,Я научился
פיל,Фил
אינם,ушел
המסיבה,вечеринка
תהרוג,Убийство
קום,вставай
בצרות,Беда
אמי,Моя мама
ני,Оу
יהרוג,Убийство
נשוי,замужем
שבועיים,Две недели
דו,два
הרצפה,земля
ארה,НАС
תקשיבו,Слушать
הקבוצה,группа
מסיבת,Нажмите
תגיע,Будет
השגת,Достижение
דיברת,Ты говорил
זהב,золото
תסלח,отговорка
מחבב,любящий
הלכת,планеты
שומעת,слышит
אפשרות,возможность
ארד,бронза
להרים,лифт
מק,макинтош
הפשע,преступление
בדיקת,проверять
קולונל,полковник
קניתי,я купил
חברות,членство
בסכנה,в опасности
הרגשה,чувство
הגנה,защита
לצד,рядом
הלבן,белый
המנהל,менеджер
ארוכה,Длинная
שמת,мертв
חיות,животные
שכבר,Уже
המשרד,офис
אשמתי,моя вина
נסה,Пытаться
האדמה,Земля
נמוך,низкий
לקחו,Взял
בגיל,В возрасте
מחכים,ожидания
